SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,325 Placemark #92,Irvine,CA,92614,910000,2,3.5,,1783,,2019,,510,,,,,https://www.redfin.com/CA/Irvine/325-Placemark-92614/unit-92/home/173436573,,,N,Y,33.687832,-117.8525402
PAST SALE,March-14-2022,Single Family Residential,1 Del Cambrea,Irvine,CA,92606,1400000,3,2.5,WP - Westpark,1706,3850,1994,,821,141,Sold,,,https://www.redfin.com/CA/Irvine/1-Del-Cambrea-92606/home/4626305,CRMLS,OC22030376,N,Y,33.6892285,-117.8041466
PAST SALE,May-16-2022,Single Family Residential,20 Del Carlo,Irvine,CA,92606,1325000,3,2.5,WP - Westpark,1706,2793,1994,,777,141,Sold,,,https://www.redfin.com/CA/Irvine/20-Del-Carlo-92606/home/4626153,CRMLS,OC22104180,N,Y,33.6899853,-117.804513
PAST SALE,June-16-2023,Single Family Residential,20 Bahia,Irvine,CA,92614,1405000,3,2,WP - Westpark,1405,3780,1988,,1000,47,Sold,,,https://www.redfin.com/CA/Irvine/20-Bahia-92614/home/4659665,CRMLS,OC23096270,N,Y,33.6797937,-117.8205929
PAST SALE,September-10-2021,Condo/Co-op,22195 Caminito Laureles #97,Laguna Hills,CA,92653,610000,3,2,S2 - Laguna Hills,1195,,1985,,510,420,Sold,,,https://www.redfin.com/CA/Laguna-Hills/22195-Caminito-Laureles-92653/unit-97/home/5634513,CRMLS,OC21166470,N,Y,33.6252817,-117.7424799
PAST SALE,April-11-2022,Single Family Residential,3641 Pine St,Irvine,CA,92606,1415000,4,3,WN - Walnut (Irvine),2277,5000,1974,,621,55,Sold,,,https://www.redfin.com/CA/Irvine/3641-Pine-St-92606/home/4675489,CRMLS,OC22058073,N,Y,33.7042193,-117.7961774
PAST SALE,September-2-2021,Condo/Co-op,88 Greenfield #91,Irvine,CA,92614,580500,2,1.5,WB - Woodbridge,1060,,1982,,548,575,Sold,,,https://www.redfin.com/CA/Irvine/88-Greenfield-92614/unit-91/home/5573641,CRMLS,OC21162581,N,Y,33.6790288,-117.8108709
PAST SALE,September-10-2021,Condo/Co-op,140 Vintage #29,Irvine,CA,92620,892000,3,3,WD - Woodbury,1792,,2004,,498,366,Sold,,,https://www.redfin.com/CA/Irvine/140-Vintage-92620/unit-29/home/7216816,CRMLS,OC21168085,N,Y,33.7003922,-117.7527943
PAST SALE,April-26-2022,Condo/Co-op,227 Mayfair,Irvine,CA,92620,1051000,2,2,STG - Stonegate,1386,,2012,,758,370,Sold,,,https://www.redfin.com/CA/Irvine/227-Mayfair-92620/home/51681305,CRMLS,OC22057031,N,Y,33.7060819,-117.7436869
PAST SALE,July-25-2022,Single Family Residential,12 Amberhill,Irvine,CA,92602,1785000,4,2.5,WI - West Irvine,2733,6989,2000,,653,139,Sold,,,https://www.redfin.com/CA/Irvine/12-Amberhill-92602/home/5768754,CRMLS,OC22132698,N,Y,33.7445948,-117.7666364
PAST SALE,August-24-2021,Single Family Residential,41 Bull Run,Irvine,CA,92620,1280000,4,2.5,NW - Northwood,2166,5400,1979,,591,,Sold,,,https://www.redfin.com/CA/Irvine/41-Bull-Run-92620/home/4781124,CRMLS,SW21141447,N,Y,33.7162857,-117.7691952
PAST SALE,February-28-2023,Single Family Residential,143 Cardinal,Irvine,CA,92618,2015000,4,3.5,GP - Great Park,2599,6400,2013,,775,225,Sold,,,https://www.redfin.com/CA/Irvine/143-Cardinal-92618/home/51682993,CRMLS,OC23011967,N,Y,33.6982366,-117.7230215
PAST SALE,November-15-2021,Condo/Co-op,205 Stellar,Irvine,CA,92618,1395000,4,3.5,GP - Great Park,2955,,2017,,472,215,Sold,,,https://www.redfin.com/CA/Irvine/205-Stellar-92618/home/167413717,CRMLS,OC21187544,N,Y,33.6825733,-117.7337382
PAST SALE,July-11-2022,Single Family Residential,36 Langford,Irvine,CA,92602,1650000,4,2.5,WI - West Irvine,2733,4950,1999,,604,139,Sold,,,https://www.redfin.com/CA/Irvine/36-Langford-92602/home/5768552,CRMLS,OC22120813,N,Y,33.7433421,-117.7684661
PAST SALE,April-10-2023,Condo/Co-op,12 Crestline #109,Irvine,CA,92602,936000,3,2.5,WI - West Irvine,1368,,2001,,684,283,Sold,,,https://www.redfin.com/CA/Irvine/12-Crestline-92602/unit-109/home/5917140,CRMLS,OC23031064,N,Y,33.7296356,-117.7799429
PAST SALE,July-29-2022,Condo/Co-op,45 Willowgrove,Irvine,CA,92604,1290000,3,2.5,WB - Woodbridge,1813,,1978,,712,406,Sold,,,https://www.redfin.com/CA/Irvine/45-Willowgrove-92604/home/5533609,CRMLS,OC22135553,N,Y,33.6818612,-117.7882472
PAST SALE,April-4-2022,Condo/Co-op,2425 Scholarship,Irvine,CA,92612,790000,2,2,AA - Airport Area,1282,,2005,,616,510,Sold,,,https://www.redfin.com/CA/Irvine/2425-Scholarship-92612/home/12248605,CRMLS,OC22043964,N,Y,33.6668988,-117.8518144
PAST SALE,December-1-2021,Condo/Co-op,12 Snapdragon #22,Irvine,CA,92604,882000,3,2.5,EC - El Camino Real,1645,,1975,,536,455,Sold,,,https://www.redfin.com/CA/Irvine/12-Snapdragon-92604/unit-22/home/5444155,CRMLS,OC21232745,N,Y,33.6923641,-117.7867881
PAST SALE,December-16-2021,Single Family Residential,2289 De Sutter Dr,Tustin,CA,92782,1175000,4,3,89 - Tustin Ranch,1769,4088,1998,,664,186,Sold,,,https://www.redfin.com/CA/Tustin/2289-De-Sutter-Dr-92782/home/4776412,CRMLS,OC21244487,N,Y,33.77082,-117.7609684
PAST SALE,October-22-2021,Condo/Co-op,140 E Yale #23,Irvine,CA,92604,1175000,3,2.5,WB - Woodbridge,2197,,1979,,535,493,Sold,,,https://www.redfin.com/CA/Irvine/140-E-Yale-Loop-92604/unit-23/home/5544736,CRMLS,OC21202657,N,Y,33.6774936,-117.7856282
PAST SALE,April-4-2022,Single Family Residential,9 Capistrano,Irvine,CA,92602,1450000,3,2.5,NK - Northpark,1759,3976,2002,,824,140,Sold,,,https://www.redfin.com/CA/Irvine/9-Capistrano-92602/home/5857344,CRMLS,OC22029028,N,Y,33.7239385,-117.7762039
PAST SALE,May-26-2023,Single Family Residential,161 Cloudbreak,Irvine,CA,92618,1839800,3,2,GP - Great Park,1746,9796,2014,,1054,235,Sold,,,https://www.redfin.com/CA/Irvine/161-Cloudbreak-92618/home/51682648,CRMLS,OC23064237,N,Y,33.7000338,-117.726685
PAST SALE,May-8-2023,Condo/Co-op,66 Costero Aisle #307,Irvine,CA,92614,635000,1,1,WP - Westpark,899,,1987,,706,322,Sold,,,https://www.redfin.com/CA/Irvine/66-Costero-Aisle-92614/unit-307/home/5589176,CRMLS,OC23050712,N,Y,33.682056,-117.8304917
PAST SALE,October-12-2021,Condo/Co-op,68 Glen Arbor #113,Irvine,CA,92602,815000,2,2.5,WI - West Irvine,1211,,2001,,673,200,Sold,,,https://www.redfin.com/CA/Irvine/68-Glen-Arbor-92602/unit-113/home/5884633,CRMLS,OC21189899,N,Y,33.7322888,-117.7760053
